HGNC symbol,logFC,AveExpr,P.Value,adj.P.Val
COPS6,-0.03634750103378703,6.009337933139952,0.4346129025557306,0.5335064310163071
MPZL3,0.05308207355929806,3.968613755188849,0.7248051856073936,0.7917807770711306
MLH1,0.02704212256372695,5.325474665286579,0.4583297485237877,0.5555545473433526
NT5DC1,0.06776088116082235,5.327932345418951,0.45939111212499784,0.5565536107933647
POLR2I,0.01306561748545265,3.692140092313371,0.9139965287609864,0.9383631051651689
PPP4R2,0.08067442299667604,5.7252275483663,0.4408342673733445,0.5394239743914178
PACSIN2,-0.0465753856292137,6.873921359999885,0.46087280921426765,0.5579886111720344
NUP37,-0.01459135007942746,3.826146525066529,0.7983765890101119,0.848907468342858
TRIP12,0.03590000624559408,7.736388892089325,0.5097012655372615,0.6042953148708451
TNFAIP1,-0.07778637431542279,6.599208023416301,0.4495300584920876,0.5471680301119866
SPRYD3,-0.04510100144864459,5.927242916726683,0.43540458432831186,0.5342599225512187
RPA3,0.00832252891507412,3.707405117850733,0.9331779286936848,0.95155131448506
FBXO30,0.05470718498199911,4.5906601235567734,0.5507553646825541,0.642818994573149
SYVN1,0.0530369037280316,6.106938871174178,0.4359457152167227,0.5347928364649154
PLEKHG4,-0.0524193289021202,4.19612739606742,0.6273147417952791,0.7102631064472896
RPL34,0.0473664869144752,8.461276638997871,0.5710267253141117,0.6610845901096618
SLC10A7,-0.00675677539731234,3.728663933233447,0.919175730362046,0.9415564243832744
UBQLN2,0.04148751242600213,5.562081596050517,0.44764959942716576,0.545673998360247
ZNF449,0.00396833838175947,3.722620611322958,0.9663192346784032,0.9759362911461864
NDUFAF8,0.00766303230147924,3.693135278926862,0.935072798372638,0.9530952398207432
FEZ2,0.05738110505909777,5.7984037350508535,0.4395557716550956,0.5382103484826252
TUSC1,0.02783812994597934,3.844773183564307,0.7956658836468602,0.8470446488866028
ARL6IP6,-0.015018082715410941,3.814165077130184,0.838647838930313,0.8805685048164409
STAG1,0.04888393750983599,6.024562142522166,0.437380026051579,0.536201992593965
FGD6,0.08968038251303945,4.982023859309518,0.49659765972091896,0.5926193714034815
PRPF40A,0.04057139090303874,6.491901343773591,0.445676824127201,0.5439756376730136
ANKRD52,0.03907518170074642,5.9274581266633195,0.43813521226046914,0.5368210762718214
DSN1,-0.0218442023054628,3.8470047429142498,0.7863165948633168,0.8399991599795923
ZSCAN9,-0.00878418468698694,3.739930102178832,0.9036977700415332,0.9310810864312176
THAP6,0.01188761208904676,3.76258954255128,0.883070714284681,0.9155625471380384
PPARD,-0.06714068271658391,5.630631140699408,0.4448270677128082,0.5432474979654145
RDH14,0.0215529574920632,4.014941540737625,0.7095969973908969,0.7791093869298837
HARS1,0.03366024793491462,5.7716459780072835,0.44151123765840294,0.5400763380348228
SASH1,-0.11134128177339432,7.142922051021804,0.4797370253962543,0.5758147833793928
IKZF4,-0.03026868883283384,4.122575415723352,0.6623195757454503,0.7401928755728964
CETN3,-0.01856825756668456,3.7894562906011457,0.8332042901445239,0.8765073358325002
RPS27,-0.03079507565938755,9.391043885067957,0.6881987010043398,0.76112343817262
LUZP1,0.07528657684145301,6.192555849494001,0.43961307246663794,0.5382366296059702
TRIM3,0.04224270727245649,4.681567490373244,0.5323522173636468,0.6256179931599852
